Temperature_C,Humidity_%,AB1_Students,AB2_Students,AB3_Students,AB4_Students,AB5_Students,MAB1_Students,MAB2_Students,MAB3_Students,MAB4_Students,Active_Windows_Labs,Active_Mac_Labs,Central_Library_Occupancy,Admin_Office_Staff,Glass_Cafeteria_Occupancy,Open_Cafeteria_Occupancy,Auditorium_Active,Boys_Hostel_Load_kWh,Girls_Hostel_Load_kWh,Solar_Generation_kWh,Year,Month,Day_Of_Month,Hour,Day_Encoded,Total_AB_Students,Total_MAB_Students,Total_Students,Total_Hostel_Load,Total_Active_Labs
27.6,39,565,566,596,538,634,411,446,483,644,24,31,309,180,128,52,0,425,420,62,2026,1,28,17,6,2899,1984,4883,845,55
32.3,46,1014,1328,1378,1103,1230,979,1098,1018,1096,25,42,321,180,144,55,0,339,368,174,2026,6,23,16,5,6053,4191,10244,707,67
29.6,43,1166,1162,1023,1114,1301,1054,842,997,964,2,6,80,5,173,61,0,402,413,100,2026,3,23,8,1,5766,3857,9623,815,8
33.8,38,189,215,213,146,226,164,162,176,157,2,7,193,5,77,27,0,336,346,150,2026,3,1,16,3,989,659,1648,682,9
32.2,54,29,39,3,21,2,18,40,3,18,0,0,7,5,20,10,0,584,591,0,2026,5,29,23,0,94,79,173,1175,0
29.8,54,6,25,2,19,26,5,21,17,3,0,0,4,5,20,10,0,602,529,0,2026,5,24,3,3,78,46,124,1131,0
24.8,48,8,33,18,23,31,26,21,10,6,0,0,6,5,20,10,0,486,532,0,2026,2,23,23,1,113,63,176,1018,0
32.0,53,1934,1673,1274,1334,1141,1052,1187,1221,1168,14,31,266,180,72,26,0,397,382,291,2026,6,18,10,4,7356,4628,11984,779,45
29.6,38,1,19,4,21,14,30,11,11,14,0,0,2,5,28,7,0,316,297,145,2026,1,8,15,4,59,66,125,613,0
27.6,53,31,32,32,24,7,17,3,20,29,0,0,13,5,20,10,0,569,460,0,2026,3,8,2,3,126,69,195,1029,0
22.7,53,8,28,38,33,21,11,19,1,7,0,0,7,5,20,10,0,456,488,0,2026,2,24,2,5,128,38,166,944,0
22.6,55,145,165,160,166,170,150,151,176,144,0,0,1,5,20,10,0,438,445,12,2026,1,21,6,6,806,621,1427,883,0
32.7,53,6,23,15,35,32,33,11,17,21,0,0,4,5,20,10,0,655,626,0,2026,5,29,22,0,111,82,193,1281,0
33.6,43,189,209,211,144,187,178,159,154,191,0,0,80,5,104,35,0,431,327,151,2026,5,23,9,2,940,682,1622,758,0
34.2,38,675,594,595,626,626,446,508,632,560,25,16,329,180,146,55,0,526,581,101,2026,4,27,17,1,3116,2146,5262,1107,41
31.5,51,1123,1150,1345,1258,911,1006,1157,1305,957,37,26,360,180,120,52,0,410,398,201,2026,6,26,16,0,5787,4425,10212,808,63
28.7,46,13,8,6,24,16,3,11,13,3,0,0,9,5,28,12,0,389,387,0,2026,1,6,19,5,67,30,97,776,0
28.8,38,1423,1292,1096,1229,1479,1056,1119,1120,994,37,22,120,180,167,67,0,334,325,126,2026,2,13,9,0,6519,4289,10808,659,59
37.2,38,249,201,234,180,178,142,150,146,194,7,6,174,5,67,33,0,382,345,216,2026,4,11,15,2,1042,632,1674,727,13
32.2,41,117,96,85,94,105,64,80,91,88,0,0,229,5,136,69,0,512,486,48,2026,3,15,18,3,497,323,820,998,0
23.1,64,16,31,31,29,10,22,10,8,34,0,0,15,5,20,10,0,436,469,0,2026,1,12,2,1,117,74,191,905,0
34.4,38,592,583,645,586,636,420,659,551,557,3,0,231,5,295,102,0,517,446,0,2026,4,1,19,6,3042,2187,5229,963,3
33.5,45,10,36,24,2,35,2,40,30,3,0,0,13,5,20,10,0,614,600,0,2026,5,28,22,4,107,75,182,1214,0
35.2,46,1437,1374,1543,1156,1321,931,970,1008,1239,31,43,317,180,143,56,0,406,399,210,2026,6,4,15,4,6831,4148,10979,805,74
29.0,43,4,15,21,3,18,30,6,14,22,0,0,8,5,21,7,0,343,300,146,2026,1,3,15,2,61,72,133,643,0
30.9,51,15,4,17,11,7,28,21,7,32,0,0,14,5,20,10,0,645,614,0,2026,5,22,23,0,54,88,142,1259,0
34.9,38,179,212,191,180,170,109,140,138,156,2,8,139,5,81,35,0,404,373,168,2026,4,18,16,2,932,543,1475,777,10
25.2,47,5,37,6,37,21,17,4,36,33,0,0,15,5,20,10,0,500,533,0,2026,2,26,22,4,106,90,196,1033,0
36.2,38,829,662,746,668,710,632,681,764,719,53,41,361,180,399,156,0,386,372,330,2026,5,27,13,6,3615,2796,6411,758,94
36.3,38,1780,1656,1754,1597,1395,1597,1380,1469,1934,38,32,301,180,58,30,0,380,362,254,2026,5,12,10,5,8182,6380,14562,742,70
37.9,38,1582,1509,1367,1520,1344,1063,1141,1393,1404,24,39,475,180,129,52,0,358,370,196,2026,5,12,15,5,7322,5001,12323,728,63
29.8,44,17,31,30,21,38,27,21,23,21,0,0,10,5,20,10,0,555,500,0,2026,3,17,22,5,137,92,229,1055,0
32.6,38,95,81,46,91,71,78,73,92,88,0,0,128,5,150,74,0,442,465,43,2026,3,7,18,2,384,331,715,907,0
33.1,38,299,290,230,277,224,203,227,183,173,8,0,84,5,48,15,0,354,312,285,2026,3,1,11,3,1320,786,2106,666,8
26.6,44,204,139,182,156,190,132,117,119,126,0,0,259,5,309,101,0,465,385,0,2026,2,25,20,6,871,494,1365,850,0
27.7,38,1607,1486,1145,769,1242,1013,1018,1116,1243,36,33,274,180,130,66,0,344,321,129,2026,2,20,16,0,6249,4390,10639,665,69
30.4,42,1601,1613,1202,1097,1441,1177,1185,1330,1164,27,19,120,180,191,60,0,330,307,128,2026,2,10,9,5,6954,4856,11810,637,46
32.1,38,30,26,25,21,31,19,16,23,22,0,0,113,5,153,76,0,496,475,0,2026,3,7,20,2,133,80,213,971,0
34.8,38,1464,1600,1358,1505,1366,1292,935,1157,1215,22,37,225,180,62,30,0,393,383,201,2026,5,25,10,1,7293,4599,11892,776,59
28.5,67,32,36,19,35,20,18,14,9,36,0,0,14,5,20,10,0,624,557,0,2026,6,21,4,3,142,77,219,1181,0
25.7,49,22,9,28,0,1,10,25,1,9,0,0,11,5,21,11,0,395,408,27,2026,1,5,7,1,60,45,105,803,0
35.2,38,1163,1338,1320,1313,1103,860,1085,1013,1516,33,31,323,180,118,57,0,377,354,134,2026,4,1,16,6,6237,4474,10711,731,64
26.9,50,5,27,15,39,9,32,11,15,17,0,0,3,5,20,10,0,433,514,0,2026,3,23,4,1,95,75,170,947,0
33.3,46,1579,1418,1178,1544,1522,1234,1323,1049,1682,24,46,265,180,64,28,0,392,397,386,2026,6,22,11,1,7241,5288,12529,789,70
33.1,49,599,643,601,577,440,475,537,351,423,11,3,212,5,287,97,0,520,535,0,2026,6,25,19,4,2860,1786,4646,1055,14
22.9,60,40,38,30,12,6,1,13,10,40,0,0,9,5,20,10,0,436,384,0,2026,1,22,4,4,126,64,190,820,0
26.3,48,1,18,16,15,39,28,15,23,37,0,0,14,5,20,10,0,510,479,0,2026,3,1,3,3,89,103,192,989,0
29.7,59,21,32,17,33,25,33,37,39,39,0,0,6,5,20,10,0,634,622,0,2026,5,22,0,0,128,148,276,1256,0
25.8,52,8,28,0,14,5,9,0,31,13,0,0,10,5,20,10,0,463,448,0,2026,2,6,1,0,55,53,108,911,0
35.9,38,125,124,109,80,112,106,81,102,80,3,1,154,5,241,88,0,435,345,308,2026,4,12,13,3,550,369,919,780,4
32.4,38,654,539,625,504,648,473,388,432,497,33,30,356,180,157,51,0,480,448,78,2026,3,2,17,1,2970,1790,4760,928,63
23.3,56,8,37,38,5,9,13,19,30,33,0,0,10,5,20,10,0,440,481,0,2026,2,23,0,1,97,95,192,921,0
34.5,39,1265,1295,1208,1008,1361,1148,914,1002,1061,21,30,294,180,137,55,0,388,365,182,2026,4,22,16,6,6137,4125,10262,753,51
28.9,38,1555,1142,1381,1222,1176,1273,899,1165,1260,31,43,342,180,138,55,0,323,318,141,2026,1,12,15,1,6476,4597,11073,641,74
32.2,45,1411,1378,1328,1084,1325,1043,1040,1126,1034,17,28,120,180,149,60,0,335,376,185,2026,4,23,9,4,6526,4243,10769,711,45
35.2,38,733,406,612,560,713,476,468,442,547,9,8,265,5,239,100,0,511,484,60,2026,5,29,18,0,3024,1933,4957,995,17
28.0,50,9,16,15,38,37,10,0,7,5,0,0,12,5,20,10,0,552,507,0,2026,3,17,0,5,115,22,137,1059,0
28.5,53,24,1,28,13,24,3,28,28,25,0,0,6,5,20,10,0,534,487,0,2026,4,26,4,3,90,84,174,1021,0
24.1,60,28,39,3,22,0,31,8,12,24,0,0,15,5,20,10,0,526,476,0,2026,1,15,22,4,92,75,167,1002,0
34.7,38,166,216,261,150,211,173,175,205,170,8,3,64,5,38,15,0,337,371,257,2026,5,17,10,3,1004,723,1727,708,11
27.2,44,1740,1402,1366,1627,1348,1550,1155,1394,1332,39,32,261,180,67,24,0,340,294,180,2026,1,13,11,5,7483,5431,12914,634,71
27.2,38,1044,1296,1212,1103,1526,973,1269,1296,890,25,22,120,180,111,53,0,352,352,110,2026,2,18,9,6,6181,4428,10609,704,47
35.5,38,1235,1083,1374,1074,1145,1067,1233,1027,1002,13,12,80,5,168,53,0,476,503,96,2026,4,7,8,5,5911,4329,10240,979,25
32.5,42,16,35,19,13,39,38,4,3,26,0,0,4,5,20,10,0,626,616,0,2026,4,28,22,5,122,71,193,1242,0
29.7,63,0,3,22,38,14,28,29,29,22,0,0,12,5,20,10,0,652,684,0,2026,6,25,23,4,77,108,185,1336,0
32.3,38,822,764,787,534,733,688,682,613,807,28,31,432,180,124,49,0,491,454,85,2026,3,13,17,0,3640,2790,6430,945,59
29.3,41,85,66,91,70,99,70,78,85,67,0,0,137,5,80,37,0,430,408,69,2026,2,1,17,3,411,300,711,838,0
32.1,48,31,28,24,23,27,18,21,21,16,0,0,132,5,140,71,0,605,581,0,2026,6,27,20,2,133,76,209,1186,0
32.0,38,2281,1789,1599,1524,1627,1349,1008,1411,1504,33,27,319,180,67,22,0,361,297,214,2026,3,16,10,1,8820,5272,14092,658,60
24.6,55,66,55,58,59,73,56,47,68,58,0,0,40,5,106,37,0,408,390,35,2026,1,18,7,3,311,229,540,798,0
27.2,46,600,622,587,403,649,502,519,720,393,35,23,316,180,134,51,0,415,413,57,2026,1,15,17,4,2861,2134,4995,828,58
35.4,38,1927,1648,1622,1404,1722,1341,1301,1179,1368,29,35,268,180,51,26,0,352,366,316,2026,4,2,11,4,8323,5189,13512,718,64
36.4,38,94,80,93,83,91,57,73,69,99,0,0,115,5,79,33,0,510,574,92,2026,5,31,17,3,441,298,739,1084,0
22.7,57,5,39,21,3,32,23,3,7,24,0,0,11,5,20,10,0,499,422,0,2026,2,21,1,2,100,57,157,921,0
26.6,47,189,152,117,161,166,130,152,139,126,0,0,78,5,20,10,0,462,463,0,2026,2,18,21,6,785,547,1332,925,0
29.9,43,27,18,16,39,16,33,20,27,10,0,0,10,5,20,10,0,635,566,0,2026,3,1,22,3,116,90,206,1201,0
35.9,38,842,622,820,675,833,600,730,488,746,36,42,320,180,329,168,0,410,379,441,2026,6,10,13,6,3792,2564,6356,789,78
31.2,52,6,16,19,38,19,11,36,27,20,0,0,4,5,20,10,0,604,514,0,2026,4,5,2,3,98,94,192,1118,0
34.0,46,36,18,6,34,18,14,14,25,33,0,0,15,5,20,10,0,572,587,0,2026,5,30,22,2,112,86,198,1159,0
31.6,58,9,22,20,24,7,32,18,18,16,0,0,5,5,20,10,0,586,535,0,2026,5,28,4,4,82,84,166,1121,0
29.6,45,27,30,28,25,25,21,22,20,17,0,0,137,5,143,58,0,448,421,0,2026,2,7,20,2,135,80,215,869,0
34.1,38,1488,1472,1279,1081,1442,1192,1189,1055,1028,31,36,359,180,129,55,0,330,354,111,2026,3,2,16,1,6762,4464,11226,684,67
35.8,38,75,86,88,82,87,62,64,61,83,0,0,140,5,161,53,0,522,515,42,2026,4,4,18,2,418,270,688,1037,0
33.5,45,215,160,157,172,174,148,138,131,144,0,0,66,5,20,10,0,688,603,0,2026,5,29,21,0,878,561,1439,1291,0
34.0,39,593,580,531,539,493,520,505,415,608,4,11,241,5,302,111,0,574,520,0,2026,5,25,19,1,2736,2048,4784,1094,15
28.4,40,1517,1388,1441,1227,1571,1011,1350,1394,1121,5,13,80,5,143,65,0,411,406,81,2026,3,18,8,6,7144,4876,12020,817,18
35.1,39,1511,1314,1008,1000,1145,958,693,891,980,10,11,80,5,187,64,0,467,453,112,2026,5,28,8,4,5978,3522,9500,920,21
33.4,44,15,10,20,4,10,11,21,29,9,0,0,0,5,20,10,0,645,557,0,2026,4,3,22,0,59,70,129,1202,0
28.8,41,9,0,26,21,12,8,0,18,27,0,0,1,5,29,12,0,341,286,241,2026,1,5,12,1,68,53,121,627,0
25.7,59,32,21,10,34,38,28,22,20,35,0,0,10,5,20,10,0,445,465,0,2026,2,8,0,3,135,105,240,910,0
28.9,54,19,39,13,36,9,20,10,12,25,0,0,5,5,20,10,0,543,538,0,2026,4,24,4,0,116,67,183,1081,0
27.3,48,38,17,8,18,2,36,3,12,25,0,0,15,5,20,10,0,528,500,0,2026,3,24,5,5,83,76,159,1028,0
32.8,41,170,129,190,152,178,151,145,156,163,8,6,163,5,68,33,0,453,383,257,2026,6,21,15,3,819,615,1434,836,14
28.1,44,28,7,15,7,8,13,15,0,12,0,0,10,5,22,7,0,310,341,150,2026,1,3,10,2,65,40,105,651,0
24.7,65,6,12,18,14,23,11,19,0,34,0,0,4,5,18,5,0,513,432,0,2026,1,4,4,3,73,64,137,945,0
30.0,55,27,35,1,4,6,36,8,14,26,0,0,1,5,20,10,0,645,547,0,2026,5,26,4,5,73,84,157,1192,0
26.3,42,1435,1141,1213,1240,994,896,946,887,1268,2,6,80,5,144,59,0,400,344,64,2026,1,16,8,0,6023,3997,10020,744,8
33.1,44,1029,1079,1347,1107,1242,1053,1049,977,936,8,4,80,5,199,61,0,500,477,97,2026,5,18,8,1,5804,4015,9819,977,12
28.8,38,634,575,497,424,558,542,563,559,473,18,27,327,180,140,43,0,425,423,72,2026,2,2,17,1,2688,2137,4825,848,45
32.8,38,189,144,205,159,197,140,152,140,168,0,0,183,5,293,115,0,518,484,0,2026,4,30,20,4,894,600,1494,1002,0
34.3,51,28,0,5,20,37,23,38,4,36,0,0,8,5,20,10,0,634,563,0,2026,5,8,0,0,90,101,191,1197,0
30.9,38,230,242,168,193,224,166,192,212,187,0,0,335,5,296,117,0,412,460,0,2026,3,17,20,5,1057,757,1814,872,0
29.5,54,28,26,14,36,8,34,15,26,37,0,0,4,5,20,10,0,560,528,0,2026,4,11,2,2,112,112,224,1088,0
26.5,54,17,35,22,7,21,29,36,5,36,0,0,14,5,20,10,0,591,565,0,2026,4,17,3,0,102,106,208,1156,0
30.2,45,24,8,20,8,25,20,18,27,38,0,0,12,5,20,10,0,637,611,0,2026,4,18,23,2,85,103,188,1248,0
31.6,45,158,173,164,160,172,139,137,158,134,0,0,28,5,20,10,0,612,629,0,2026,4,22,21,6,827,568,1395,1241,0
34.4,38,76,56,62,60,65,51,44,46,62,0,0,40,5,88,37,0,432,473,47,2026,4,11,7,2,319,203,522,905,0
29.6,42,1299,1216,1533,1343,1442,1187,1144,1347,1168,28,16,120,180,144,55,0,362,266,130,2026,2,12,9,4,6833,4846,11679,628,44
36.6,38,192,206,155,174,186,158,124,147,169,5,7,180,5,63,23,0,390,383,336,2026,4,11,14,2,913,598,1511,773,12
24.8,53,29,39,10,37,4,6,7,31,38,0,0,7,5,20,10,0,512,554,0,2026,2,18,23,6,119,82,201,1066,0
25.6,53,35,12,31,25,36,12,35,39,33,0,0,7,5,20,10,0,446,459,0,2026,2,9,1,1,139,119,258,905,0
33.7,43,1099,995,1220,1025,1405,1182,1035,1091,920,15,14,80,5,136,62,0,453,474,87,2026,5,21,8,4,5744,4228,9972,927,29
38.4,38,115,99,135,92,115,96,89,87,96,3,4,170,5,221,106,0,371,382,370,2026,5,3,13,3,556,368,924,753,7
28.9,46,12,33,15,36,40,11,35,35,26,0,0,3,5,20,10,0,571,481,0,2026,2,7,22,2,136,107,243,1052,0
25.4,57,37,20,1,11,16,3,8,26,33,0,0,3,5,12,12,0,454,458,0,2026,1,6,4,5,85,70,155,912,0
30.4,49,8,22,19,28,27,35,5,32,11,0,0,12,5,20,10,0,530,488,0,2026,4,28,4,5,104,83,187,1018,0
36.6,38,208,206,207,164,203,177,150,157,153,8,6,160,5,78,29,0,388,373,230,2026,5,23,15,2,988,637,1625,761,14
25.7,51,25,17,28,11,36,8,36,14,6,0,0,8,5,20,10,0,467,411,0,2026,2,4,1,6,117,64,181,878,0
32.5,51,7,25,12,5,35,31,12,8,33,0,0,1,5,20,10,0,571,576,0,2026,5,4,1,1,84,84,168,1147,0
29.4,49,17,28,3,20,29,40,16,10,13,0,0,10,5,20,10,0,580,528,0,2026,4,30,1,4,97,79,176,1108,0
36.0,38,191,215,237,251,223,163,162,199,168,2,4,141,5,41,16,0,343,348,235,2026,4,5,10,3,1117,692,1809,691,6
32.1,56,173,164,183,175,172,86,125,119,170,0,0,12,5,20,10,0,579,644,22,2026,6,29,6,1,867,500,1367,1223,0
28.9,53,11,10,25,35,26,22,13,26,38,0,0,8,5,20,10,0,562,546,0,2026,4,21,4,5,107,99,206,1108,0
31.5,41,663,631,501,476,677,504,483,502,620,9,7,308,5,257,92,0,541,469,49,2026,4,20,18,1,2948,2109,5057,1010,16
36.9,38,1012,734,995,749,1114,880,804,616,748,33,34,449,180,376,142,0,372,354,368,2026,5,14,12,4,4604,3048,7652,726,67
26.4,52,1510,1513,1278,1346,1524,1217,1044,1219,1498,33,36,237,180,72,27,0,307,309,148,2026,1,19,10,1,7171,4978,12149,616,69
27.7,51,31,35,29,6,21,33,16,4,23,0,0,13,5,20,10,0,623,554,0,2026,4,28,2,5,122,76,198,1177,0
26.2,42,1455,1197,924,1215,1192,982,1038,1067,1161,19,23,120,180,129,64,0,279,308,128,2026,2,23,9,1,5983,4248,10231,587,42
29.5,38,1445,1218,1592,1570,1614,1371,1140,1099,1155,34,32,242,180,76,28,0,320,301,197,2026,2,13,10,0,7439,4765,12204,621,66
28.4,38,579,684,538,615,628,493,448,484,536,31,19,300,180,135,57,0,424,390,60,2026,2,24,17,5,3044,1961,5005,814,50
28.1,38,876,901,690,717,810,665,635,686,714,31,44,313,180,353,153,0,339,299,198,2026,1,14,12,6,3994,2700,6694,638,75
32.0,52,21,26,16,12,21,3,8,13,35,0,0,10,5,20,10,0,562,589,0,2026,4,8,0,6,96,59,155,1151,0
23.4,55,21,17,17,6,16,37,25,29,15,0,0,6,5,20,10,0,508,475,0,2026,2,17,2,5,77,106,183,983,0
35.1,39,150,133,172,193,211,169,161,152,179,0,0,60,5,75,41,0,458,440,93,2026,5,16,8,2,859,661,1520,898,0
32.9,48,3,32,38,34,4,15,34,35,5,0,0,10,5,20,10,0,635,600,0,2026,5,27,22,6,111,89,200,1235,0
32.1,55,27,23,25,22,21,19,22,25,23,0,0,0,5,20,10,0,599,544,26,2026,6,14,6,3,118,89,207,1143,0
28.5,42,9,11,3,26,19,19,28,18,40,0,0,5,5,20,10,0,451,490,0,2026,2,11,22,6,68,105,173,941,0
34.2,38,694,625,576,463,525,500,503,489,566,1,10,229,5,278,110,0,510,496,0,2026,5,19,19,5,2883,2058,4941,1006,11
27.6,48,21,24,30,38,8,8,32,40,29,0,0,14,5,20,10,0,497,537,0,2026,3,7,3,2,121,109,230,1034,0
29.9,41,371,542,356,360,491,367,330,298,331,0,0,40,5,143,63,0,448,414,43,2026,3,26,7,4,2120,1326,3446,862,0
27.1,56,26,3,4,12,32,9,17,5,11,0,0,14,5,20,10,0,529,533,0,2026,4,17,1,0,77,42,119,1062,0
24.8,59,11,6,21,8,22,29,21,20,2,0,0,19,5,30,7,0,464,411,14,2026,1,1,6,4,68,72,140,875,0
29.7,40,25,25,25,23,30,18,20,17,23,0,0,89,5,157,62,0,456,409,0,2026,2,8,20,3,128,78,206,865,0
24.9,45,451,319,396,463,443,313,348,350,396,0,0,40,5,135,66,0,331,357,30,2026,1,19,7,1,2072,1407,3479,688,0
36.5,38,110,98,88,79,94,68,77,67,75,0,0,112,5,154,60,0,596,487,53,2026,5,2,18,2,469,287,756,1083,0
33.1,41,451,422,449,394,327,291,304,369,400,0,0,40,5,183,56,0,512,397,42,2026,4,30,7,4,2043,1364,3407,909,0
34.0,45,76,102,86,93,95,79,74,74,89,0,0,167,5,152,67,0,539,523,65,2026,6,14,18,3,452,316,768,1062,0
27.1,47,30,5,23,25,24,10,30,28,27,0,0,13,5,20,10,0,472,480,0,2026,3,16,4,1,107,95,202,952,0
33.2,38,727,887,711,637,633,623,660,649,610,2,12,383,5,315,119,0,463,390,0,2026,3,11,19,6,3595,2542,6137,853,14
35.6,38,1974,1549,1686,1611,1602,1599,1457,1204,1430,40,47,284,180,69,30,0,385,344,302,2026,5,18,11,1,8422,5690,14112,729,87
24.1,58,10,37,37,9,10,39,38,21,36,0,0,1,5,10,6,0,421,428,0,2026,1,9,2,0,103,134,237,849,0
32.1,57,39,24,1,34,17,13,31,27,33,0,0,10,5,20,10,0,620,600,0,2026,5,17,0,3,115,104,219,1220,0
37.5,38,1244,1243,1146,1287,1325,1184,1190,832,1307,36,28,339,180,133,57,0,371,366,166,2026,4,8,16,6,6245,4513,10758,737,64
29.9,45,25,3,7,19,25,30,11,15,34,0,0,8,5,20,10,0,629,576,0,2026,4,6,2,1,79,90,169,1205,0
27.3,42,29,25,25,16,25,16,17,17,19,0,0,106,5,154,69,0,454,375,0,2026,2,28,20,2,120,69,189,829,0
29.7,40,173,251,212,206,194,205,153,196,210,6,5,93,5,48,16,0,350,285,198,2026,2,15,10,3,1036,764,1800,635,11
30.4,38,175,226,145,153,185,128,178,173,157,6,5,202,5,61,21,0,327,356,219,2026,2,28,14,2,884,636,1520,683,11
25.8,51,11,38,15,19,18,36,28,40,12,0,0,8,5,20,10,0,529,558,0,2026,3,16,3,1,101,116,217,1087,0
26.1,55,17,16,15,28,30,4,27,16,14,0,0,8,5,16,6,0,526,424,12,2026,1,10,6,2,106,61,167,950,0
30.4,51,8,18,29,3,28,14,39,8,2,0,0,3,5,20,10,0,586,561,0,2026,5,27,1,6,86,63,149,1147,0
24.4,51,31,26,24,20,27,16,22,18,25,0,0,75,5,20,10,0,504,491,0,2026,1,24,21,2,128,81,209,995,0
31.9,49,611,613,538,472,613,385,535,528,490,1,10,251,5,243,103,0,553,523,0,2026,6,24,19,6,2847,1938,4785,1076,11
