Date,Day,Time,Temperature_C,Humidity_%,AB1_Students,AB2_Students,AB3_Students,AB4_Students,AB5_Students,MAB1_Students,MAB2_Students,MAB3_Students,MAB4_Students,Active_Windows_Labs,Active_Mac_Labs,Central_Library_Occupancy,Admin_Office_Staff,Glass_Cafeteria_Occupancy,Open_Cafeteria_Occupancy,Auditorium_Active,Boys_Hostel_Load_kWh,Girls_Hostel_Load_kWh,Solar_Generation_kWh,Electricity_Consumption_kWh,Net_Grid_Usage_kWh,Anomaly_Score,Is_Anomaly,Year,Month,Day_Of_Month,Hour,Day_Encoded,Total_AB_Students,Total_MAB_Students,Total_Students,Total_Hostel_Load,Total_Active_Labs
2026-01-01,Thursday,12:00,28.0,43,27,30,0,21,23,3,21,28,17,0,0,8,5,30,10,0,333,291,181,2242.6,2061.6,0.0681,0,2026,1,1,12,4,101,69,170,624,0
2026-01-01,Thursday,13:00,28.2,44,13,5,14,0,30,23,28,23,8,0,0,16,5,15,13,0,275,318,238,2064.6,1826.6,0.0333,0,2026,1,1,13,4,62,82,144,593,0
2026-01-01,Thursday,14:00,28.4,38,27,20,9,26,20,16,19,6,4,0,0,11,5,15,13,0,322,310,227,2107.7,1880.7,0.0103,0,2026,1,1,14,4,102,45,147,632,0
2026-01-01,Thursday,15:00,27.8,38,29,16,29,0,19,10,15,0,3,0,0,11,5,19,8,0,344,309,116,2261.9,2145.9,0.0362,0,2026,1,1,15,4,93,28,121,653,0
2026-01-01,Thursday,16:00,28.1,43,28,18,30,2,2,23,15,26,2,0,0,17,5,14,7,0,312,297,99,2129.2,2030.2,0.0327,0,2026,1,1,16,4,80,66,146,609,0
2026-01-01,Thursday,17:00,28.0,42,30,17,5,8,16,27,19,13,30,0,0,6,5,27,8,0,430,399,57,2441.9,2384.9,0.1051,0,2026,1,1,17,4,76,89,165,829,0
2026-01-01,Thursday,18:00,27.2,41,12,21,20,11,14,28,16,14,3,0,0,7,5,17,6,0,425,415,31,2504.7,2473.7,0.1232,0,2026,1,1,18,4,78,61,139,840,0
2026-01-01,Thursday,19:00,27.1,45,18,17,7,18,7,0,2,22,20,0,0,1,5,17,6,0,380,404,0,2463.0,2463.0,0.1206,0,2026,1,1,19,4,67,44,111,784,0
2026-01-01,Thursday,20:00,27.9,46,28,1,27,10,2,16,7,8,21,0,0,15,5,16,13,0,437,404,0,2446.4,2446.4,0.1182,0,2026,1,1,20,4,68,52,120,841,0
2026-01-01,Thursday,21:00,26.5,52,4,23,29,28,18,18,15,7,25,0,0,15,5,23,8,0,522,447,0,2749.6,2749.6,0.1384,0,2026,1,1,21,4,102,65,167,969,0
2026-01-01,Thursday,22:00,24.4,56,6,6,27,22,27,26,29,3,6,0,0,1,5,22,10,0,564,445,0,2654.4,2654.4,0.109,0,2026,1,1,22,4,88,64,152,1009,0
2026-01-01,Thursday,23:00,24.6,55,6,15,12,12,34,28,8,27,11,0,0,8,5,24,8,0,452,475,0,2542.4,2542.4,0.0927,0,2026,1,1,23,4,79,74,153,927,0
2026-01-02,Friday,00:00,24.4,56,4,28,35,6,3,34,0,5,15,0,0,5,5,23,12,0,507,418,0,2585.3,2585.3,0.1056,0,2026,1,2,0,0,76,54,130,925,0
2026-01-02,Friday,01:00,23.9,56,30,13,25,3,10,24,0,24,16,0,0,14,5,19,11,0,470,473,0,2520.7,2520.7,0.0722,0,2026,1,2,1,0,81,64,145,943,0
2026-01-02,Friday,02:00,22.8,61,35,31,9,12,18,13,3,37,34,0,0,1,5,20,5,0,486,406,0,2495.0,2495.0,-0.002,1,2026,1,2,2,0,105,87,192,892,0
2026-01-02,Friday,03:00,22.4,61,3,37,30,32,33,10,3,32,5,0,0,5,5,12,14,0,471,448,0,2561.3,2561.3,0.0069,0,2026,1,2,3,0,135,50,185,919,0
2026-01-02,Friday,04:00,24.2,60,4,15,25,7,36,15,37,38,2,0,0,19,5,12,11,0,444,488,0,2649.9,2649.9,0.0705,0,2026,1,2,4,0,87,92,179,932,0
2026-01-02,Friday,05:00,24.1,59,37,36,33,20,16,13,20,15,16,0,0,12,5,14,15,0,437,460,0,2663.3,2663.3,0.0702,0,2026,1,2,5,0,142,64,206,897,0
2026-01-02,Friday,06:00,25.0,56,20,9,14,10,29,24,29,2,0,0,0,14,5,29,14,0,476,461,18,2591.2,2573.2,0.1134,0,2026,1,2,6,0,82,55,137,937,0
2026-01-02,Friday,07:00,25.7,48,2,17,6,16,8,4,29,11,28,0,0,2,5,17,10,0,376,369,28,2415.3,2387.3,0.0987,0,2026,1,2,7,0,49,72,121,745,0
2026-01-02,Friday,08:00,27.3,47,14,26,17,22,9,19,25,20,16,0,0,0,5,27,9,0,429,365,75,2455.2,2380.2,0.1317,0,2026,1,2,8,0,88,80,168,794,0
2026-01-02,Friday,09:00,26.8,42,3,30,28,4,8,3,28,3,23,0,0,17,5,14,9,0,335,299,92,2261.8,2169.8,0.0683,0,2026,1,2,9,0,73,57,130,634,0
2026-01-02,Friday,10:00,27.7,40,6,22,10,6,21,20,27,8,16,0,0,15,5,18,5,0,296,295,126,2176.3,2050.3,0.0404,0,2026,1,2,10,0,65,71,136,591,0
2026-01-02,Friday,11:00,27.4,42,13,26,8,1,0,10,24,4,20,0,0,8,5,15,12,0,333,287,187,2139.8,1952.8,0.0378,0,2026,1,2,11,0,48,58,106,620,0
2026-01-02,Friday,12:00,27.7,42,13,17,0,3,2,30,28,22,28,0,0,4,5,27,5,0,337,323,243,2063.1,1820.1,0.0294,0,2026,1,2,12,0,35,108,143,660,0
2026-01-02,Friday,13:00,28.0,41,18,17,4,13,4,1,9,11,28,0,0,1,5,21,8,0,336,313,262,2132.2,1870.2,0.0259,0,2026,1,2,13,0,56,49,105,649,0
2026-01-02,Friday,14:00,29.3,41,21,3,11,24,17,28,27,13,19,0,0,4,5,17,7,0,339,297,220,2136.0,1916.0,0.028,0,2026,1,2,14,0,76,87,163,636,0
2026-01-02,Friday,15:00,28.4,38,25,5,28,13,0,5,23,29,10,0,0,13,5,17,9,0,327,345,112,2311.0,2199.0,0.051,0,2026,1,2,15,0,71,67,138,672,0
2026-01-02,Friday,16:00,27.4,39,22,3,12,27,1,27,15,7,6,0,0,14,5,21,9,0,347,304,101,2204.8,2103.8,0.0284,0,2026,1,2,16,0,65,55,120,651,0
2026-01-02,Friday,17:00,28.5,39,27,7,7,0,21,6,12,10,8,0,0,2,5,18,10,0,435,406,58,2616.7,2558.7,0.1069,0,2026,1,2,17,0,62,36,98,841,0
2026-01-02,Friday,18:00,28.1,38,12,21,26,17,10,30,0,3,28,0,0,8,5,15,14,0,434,389,37,2428.1,2391.1,0.0737,0,2026,1,2,18,0,86,61,147,823,0
2026-01-02,Friday,19:00,27.2,47,8,1,3,19,13,11,23,25,10,0,0,13,5,29,13,0,452,376,0,2488.7,2488.7,0.1415,0,2026,1,2,19,0,44,69,113,828,0
2026-01-02,Friday,20:00,26.5,46,3,12,28,18,6,8,1,22,13,0,0,0,5,26,13,0,475,415,0,2487.9,2487.9,0.1255,0,2026,1,2,20,0,67,44,111,890,0
2026-01-02,Friday,21:00,26.7,56,21,23,30,23,23,21,6,11,13,0,0,2,5,20,14,0,530,430,0,2614.5,2614.5,0.1211,0,2026,1,2,21,0,120,51,171,960,0
2026-01-02,Friday,22:00,26.3,50,20,7,19,32,19,26,20,25,18,0,0,17,5,14,8,0,512,495,0,2632.4,2632.4,0.1434,0,2026,1,2,22,0,97,89,186,1007,0
2026-01-02,Friday,23:00,24.8,46,26,24,11,39,36,19,25,35,0,0,0,9,5,19,8,0,468,466,0,2544.8,2544.8,0.0898,0,2026,1,2,23,0,136,79,215,934,0
2026-01-03,Saturday,00:00,25.4,54,27,37,38,20,29,28,28,13,32,0,0,15,5,15,15,0,452,442,0,2686.3,2686.3,0.1224,0,2026,1,3,0,2,151,101,252,894,0
2026-01-03,Saturday,01:00,22.8,64,5,18,32,40,39,21,5,15,19,0,0,7,5,16,7,0,464,413,0,2594.9,2594.9,-0.0138,1,2026,1,3,1,2,134,60,194,877,0
2026-01-03,Saturday,02:00,23.1,58,1,2,15,30,39,4,29,26,40,0,0,18,5,16,11,0,466,429,0,2591.3,2591.3,0.0563,0,2026,1,3,2,2,87,99,186,895,0
2026-01-03,Saturday,03:00,22.7,65,31,25,15,9,0,6,27,14,11,0,0,16,5,24,5,0,430,495,0,2480.8,2480.8,-0.0495,1,2026,1,3,3,2,80,58,138,925,0
2026-01-03,Saturday,04:00,24.3,61,35,15,7,29,8,29,33,35,38,0,0,10,5,24,14,0,472,423,0,2578.9,2578.9,0.0545,0,2026,1,3,4,2,94,135,229,895,0
2026-01-03,Saturday,05:00,24.8,54,32,27,35,28,10,30,28,16,15,0,0,20,5,18,13,0,488,448,0,2585.8,2585.8,0.1175,0,2026,1,3,5,2,132,89,221,936,0
2026-01-03,Saturday,06:00,26.3,53,15,20,7,8,14,2,22,9,7,0,0,8,5,20,10,0,487,456,15,2570.3,2555.3,0.1269,0,2026,1,3,6,2,64,40,104,943,0
2026-01-03,Saturday,07:00,26.9,51,2,4,4,7,12,22,4,22,6,0,0,2,5,23,11,0,394,374,30,2380.5,2350.5,0.0944,0,2026,1,3,7,2,29,54,83,768,0
2026-01-03,Saturday,08:00,27.4,46,14,13,1,6,26,13,12,28,24,0,0,18,5,10,14,0,390,396,57,2467.0,2410.0,0.1337,0,2026,1,3,8,2,60,77,137,786,0
2026-01-03,Saturday,09:00,28.3,44,0,30,11,9,24,12,27,28,30,0,0,13,5,27,13,0,339,298,108,2238.2,2130.2,0.078,0,2026,1,3,9,2,74,97,171,637,0
2026-01-03,Saturday,10:00,28.1,44,28,7,15,7,8,13,15,0,12,0,0,10,5,22,7,0,310,341,150,2137.2,1987.2,0.0377,0,2026,1,3,10,2,65,40,105,651,0
2026-01-03,Saturday,11:00,29.1,43,29,4,19,17,0,29,12,18,18,0,0,0,5,12,15,0,338,315,177,2171.5,1994.5,0.0504,0,2026,1,3,11,2,69,77,146,653,0
2026-01-03,Saturday,12:00,28.7,38,27,14,5,1,8,12,10,6,14,0,0,10,5,20,11,0,345,301,182,2174.1,1992.1,0.0315,0,2026,1,3,12,2,55,42,97,646,0
2026-01-03,Saturday,13:00,29.1,38,30,26,13,8,26,2,15,0,23,0,0,17,5,11,10,0,310,308,189,2149.1,1960.1,0.0238,0,2026,1,3,13,2,103,40,143,618,0
2026-01-03,Saturday,14:00,28.6,40,2,24,30,20,1,24,0,30,7,0,0,6,5,10,14,0,297,278,154,2132.7,1978.7,0.0302,0,2026,1,3,14,2,77,61,138,575,0
2026-01-03,Saturday,15:00,29.0,43,4,15,21,3,18,30,6,14,22,0,0,8,5,21,7,0,343,300,146,2178.7,2032.7,0.0532,0,2026,1,3,15,2,61,72,133,643,0
2026-01-03,Saturday,16:00,28.7,39,30,23,22,3,24,26,5,30,9,0,0,3,5,28,5,0,332,288,113,2322.0,2209.0,0.0637,0,2026,1,3,16,2,102,70,172,620,0
2026-01-03,Saturday,17:00,28.3,42,18,21,29,30,12,12,30,22,6,0,0,2,5,28,15,0,447,395,53,2498.6,2445.6,0.1296,0,2026,1,3,17,2,110,70,180,842,0
2026-01-03,Saturday,18:00,28.1,40,22,24,9,27,21,19,25,3,25,0,0,18,5,11,10,0,430,417,33,2568.3,2535.3,0.1198,0,2026,1,3,18,2,103,72,175,847,0
2026-01-03,Saturday,19:00,28.9,41,21,11,2,16,20,10,0,27,13,0,0,15,5,13,11,0,452,409,0,2711.1,2711.1,0.148,0,2026,1,3,19,2,70,50,120,861,0
2026-01-03,Saturday,20:00,26.5,45,30,11,20,28,26,14,22,4,13,0,0,5,5,26,15,0,414,353,0,2423.1,2423.1,0.1007,0,2026,1,3,20,2,115,53,168,767,0
2026-01-03,Saturday,21:00,26.0,51,8,19,25,29,17,24,15,14,13,0,0,18,5,18,10,0,509,526,0,2785.8,2785.8,0.1354,0,2026,1,3,21,2,98,66,164,1035,0
2026-01-03,Saturday,22:00,25.4,50,15,5,17,28,15,29,36,39,24,0,0,10,5,10,12,0,513,435,0,2758.5,2758.5,0.1287,0,2026,1,3,22,2,80,128,208,948,0
2026-01-03,Saturday,23:00,25.8,54,20,11,31,13,22,16,21,17,38,0,0,8,5,27,5,0,447,511,0,2641.1,2641.1,0.1319,0,2026,1,3,23,2,97,92,189,958,0
2026-01-04,Sunday,00:00,25.4,53,33,12,5,15,26,31,35,15,30,0,0,20,5,25,12,0,447,439,0,2583.5,2583.5,0.1186,0,2026,1,4,0,3,91,111,202,886,0
2026-01-04,Sunday,01:00,23.6,61,1,5,18,14,25,15,19,37,23,0,0,15,5,27,13,0,434,435,0,2564.6,2564.6,0.0365,0,2026,1,4,1,3,63,94,157,869,0
2026-01-04,Sunday,02:00,23.5,62,22,27,35,21,22,29,17,19,16,0,0,7,5,13,8,0,433,398,0,2601.2,2601.2,0.0299,0,2026,1,4,2,3,127,81,208,831,0
2026-01-04,Sunday,03:00,22.8,58,20,7,34,11,12,13,30,17,37,0,0,16,5,29,9,0,507,442,0,2718.5,2718.5,0.0411,0,2026,1,4,3,3,84,97,181,949,0
2026-01-04,Sunday,04:00,24.7,65,6,12,18,14,23,11,19,0,34,0,0,4,5,18,5,0,513,432,0,2688.4,2688.4,0.0058,0,2026,1,4,4,3,73,64,137,945,0
2026-01-04,Sunday,05:00,25.7,59,3,35,18,8,40,31,6,0,36,0,0,9,5,25,12,0,437,457,0,2651.8,2651.8,0.0881,0,2026,1,4,5,3,104,73,177,894,0
2026-01-04,Sunday,06:00,25.0,50,14,10,5,30,1,8,30,27,15,0,0,3,5,12,11,0,407,432,14,2600.3,2586.3,0.1154,0,2026,1,4,6,3,60,80,140,839,0
2026-01-04,Sunday,07:00,26.7,55,18,20,21,1,4,4,25,18,30,0,0,9,5,12,8,0,362,333,26,2375.0,2349.0,0.0631,0,2026,1,4,7,3,64,77,141,695,0
2026-01-04,Sunday,08:00,27.2,41,24,13,19,19,25,19,7,24,16,0,0,12,5,24,12,0,393,342,55,2397.9,2342.9,0.0995,0,2026,1,4,8,3,100,66,166,735,0
2026-01-04,Sunday,09:00,27.2,44,18,13,9,18,19,1,19,30,23,0,0,3,5,16,15,0,305,302,90,2158.4,2068.4,0.0486,0,2026,1,4,9,3,77,73,150,607,0
2026-01-04,Sunday,10:00,28.6,41,21,2,5,7,5,17,2,5,0,0,0,13,5,24,14,0,310,301,132,2162.4,2030.4,0.039,0,2026,1,4,10,3,40,24,64,611,0
2026-01-04,Sunday,11:00,27.9,47,1,7,9,22,9,22,27,14,2,0,0,7,5,18,15,0,327,290,190,2127.4,1937.4,0.0401,0,2026,1,4,11,3,48,65,113,617,0
2026-01-04,Sunday,12:00,28.8,42,25,29,6,13,3,17,7,20,4,0,0,8,5,14,6,0,341,294,169,2181.4,2012.4,0.0496,0,2026,1,4,12,3,76,48,124,635,0
2026-01-04,Sunday,13:00,27.7,38,25,9,19,23,26,18,29,9,14,0,0,3,5,24,9,0,353,333,218,2219.4,2001.4,0.0291,0,2026,1,4,13,3,102,70,172,686,0
2026-01-04,Sunday,14:00,29.3,48,30,8,16,17,15,14,2,19,1,0,0,13,5,20,14,0,348,301,158,2150.7,1992.7,0.0412,0,2026,1,4,14,3,86,36,122,649,0
2026-01-04,Sunday,15:00,29.2,38,2,7,30,21,26,27,18,18,30,0,0,0,5,18,14,0,298,291,111,2317.3,2206.3,0.0597,0,2026,1,4,15,3,86,93,179,589,0
2026-01-04,Sunday,16:00,29.4,39,24,5,15,16,20,14,29,8,5,0,0,18,5,23,15,0,355,305,102,2394.3,2292.3,0.0742,0,2026,1,4,16,3,80,56,136,660,0
2026-01-04,Sunday,17:00,28.9,38,2,15,11,13,10,10,21,3,27,0,0,5,5,20,11,0,425,384,57,2526.8,2469.8,0.1075,0,2026,1,4,17,3,51,61,112,809,0
2026-01-04,Sunday,18:00,29.4,38,9,21,30,12,26,24,17,1,14,0,0,2,5,20,9,0,444,389,27,2504.6,2477.6,0.1066,0,2026,1,4,18,3,98,56,154,833,0
2026-01-04,Sunday,19:00,27.3,45,24,12,27,16,26,0,21,27,17,0,0,14,5,23,5,0,408,412,0,2504.2,2504.2,0.1351,0,2026,1,4,19,3,105,65,170,820,0
2026-01-04,Sunday,20:00,27.1,44,6,16,11,19,24,15,20,14,24,0,0,1,5,16,9,0,415,423,0,2550.7,2550.7,0.1352,0,2026,1,4,20,3,76,73,149,838,0
2026-01-04,Sunday,21:00,26.1,50,17,4,29,9,14,28,22,15,3,0,0,0,5,30,14,0,521,425,0,2666.5,2666.5,0.1388,0,2026,1,4,21,3,73,68,141,946,0
2026-01-04,Sunday,22:00,25.6,55,15,10,19,35,0,35,26,5,14,0,0,3,5,24,6,0,476,422,0,2477.7,2477.7,0.0756,0,2026,1,4,22,3,79,80,159,898,0
2026-01-04,Sunday,23:00,25.3,56,9,31,18,32,17,26,30,30,15,0,0,14,5,27,7,0,472,491,0,2547.1,2547.1,0.0949,0,2026,1,4,23,3,107,101,208,963,0
2026-01-05,Monday,00:00,24.8,55,24,12,38,32,8,4,17,26,21,0,0,16,5,18,5,0,446,440,0,2518.5,2518.5,0.0871,0,2026,1,5,0,1,114,68,182,886,0
2026-01-05,Monday,01:00,23.9,62,18,19,37,37,31,9,28,34,30,0,0,11,5,20,13,0,448,461,0,2533.6,2533.6,0.0244,0,2026,1,5,1,1,142,101,243,909,0
2026-01-05,Monday,02:00,23.7,64,34,24,29,20,12,15,36,24,14,0,0,13,5,11,10,0,395,418,0,2539.2,2539.2,-0.0021,1,2026,1,5,2,1,119,89,208,813,0
2026-01-05,Monday,03:00,22.6,62,30,24,24,9,31,2,8,32,37,0,0,10,5,13,12,0,447,441,0,2566.9,2566.9,0.001,0,2026,1,5,3,1,118,79,197,888,0
2026-01-05,Monday,04:00,25.5,59,6,33,29,0,9,26,9,4,30,0,0,8,5,20,14,0,474,428,0,2553.9,2553.9,0.0712,0,2026,1,5,4,1,77,69,146,902,0
2026-01-05,Monday,05:00,25.2,57,25,5,21,34,24,20,40,31,34,0,0,1,5,29,6,0,452,447,0,2731.0,2731.0,0.105,0,2026,1,5,5,1,109,125,234,899,0
2026-01-05,Monday,06:00,26.7,51,7,20,21,29,9,7,23,2,13,0,0,3,5,30,6,0,498,428,12,2532.7,2520.7,0.1225,0,2026,1,5,6,1,86,45,131,926,0
2026-01-05,Monday,07:00,25.7,49,22,9,28,0,1,10,25,1,9,0,0,11,5,21,11,0,395,408,27,2444.1,2417.1,0.1011,0,2026,1,5,7,1,60,45,105,803,0
2026-01-05,Monday,08:00,27.9,40,16,13,18,21,25,5,5,5,2,0,0,19,5,22,14,0,401,388,57,2489.7,2432.7,0.1127,0,2026,1,5,8,1,93,17,110,789,0
2026-01-05,Monday,09:00,28.2,43,15,29,18,4,7,14,20,8,14,0,0,8,5,10,12,0,338,345,110,2288.2,2178.2,0.085,0,2026,1,5,9,1,73,56,129,683,0
2026-01-05,Monday,10:00,28.2,40,21,17,5,2,14,30,11,18,9,0,0,20,5,23,9,0,342,288,139,2174.8,2035.8,0.0386,0,2026,1,5,10,1,59,68,127,630,0
2026-01-05,Monday,11:00,29.1,42,9,6,12,27,15,3,7,12,18,0,0,11,5,28,9,0,346,294,211,2125.8,1914.8,0.0345,0,2026,1,5,11,1,69,40,109,640,0
2026-01-05,Monday,12:00,28.8,41,9,0,26,21,12,8,0,18,27,0,0,1,5,29,12,0,341,286,241,2203.7,1962.7,0.0512,0,2026,1,5,12,1,68,53,121,627,0
2026-01-05,Monday,13:00,29.5,44,28,9,24,25,7,19,25,11,7,0,0,20,5,16,14,0,311,281,172,2265.0,2093.0,0.0804,0,2026,1,5,13,1,93,62,155,592,0
2026-01-05,Monday,14:00,29.7,38,24,23,24,21,21,26,4,20,3,0,0,20,5,30,5,0,331,283,190,2208.7,2018.7,0.0329,0,2026,1,5,14,1,113,53,166,614,0
2026-01-05,Monday,15:00,29.3,41,14,1,18,11,23,4,2,29,9,0,0,10,5,23,7,0,335,307,121,2289.6,2168.6,0.0798,0,2026,1,5,15,1,67,44,111,642,0
2026-01-05,Monday,16:00,30.2,43,25,17,28,11,16,16,29,8,26,0,0,5,5,18,12,0,357,294,106,2317.3,2211.3,0.0878,0,2026,1,5,16,1,97,79,176,651,0
2026-01-05,Monday,17:00,28.8,44,9,23,27,10,25,3,14,30,2,0,0,4,5,17,15,0,386,442,61,2459.4,2398.4,0.135,0,2026,1,5,17,1,94,49,143,828,0
2026-01-05,Monday,18:00,27.8,38,12,30,27,25,17,11,2,25,12,0,0,0,5,18,13,0,451,407,24,2440.0,2416.0,0.0699,0,2026,1,5,18,1,111,50,161,858,0
2026-01-05,Monday,19:00,27.8,50,11,21,23,21,8,18,12,26,20,0,0,11,5,13,15,0,423,368,0,2459.8,2459.8,0.1158,0,2026,1,5,19,1,84,76,160,791,0
2026-01-05,Monday,20:00,27.3,39,7,15,0,19,28,30,17,10,29,0,0,19,5,17,15,0,428,399,0,2556.1,2556.1,0.0925,0,2026,1,5,20,1,69,86,155,827,0
2026-01-05,Monday,21:00,28.0,52,2,20,26,14,29,22,9,20,13,0,0,3,5,14,5,0,491,441,0,2781.2,2781.2,0.1499,0,2026,1,5,21,1,91,64,155,932,0
2026-01-05,Monday,22:00,26.2,52,2,19,31,7,6,15,34,8,24,0,0,14,5,21,15,0,498,478,0,2651.0,2651.0,0.1292,0,2026,1,5,22,1,65,81,146,976,0
2026-01-05,Monday,23:00,25.2,54,34,26,37,9,26,6,31,39,26,0,0,8,5,11,10,0,498,457,0,2601.2,2601.2,0.1182,0,2026,1,5,23,1,132,102,234,955,0
2026-01-06,Tuesday,00:00,25.0,58,13,28,28,15,23,6,23,34,22,0,0,1,5,22,9,0,506,369,0,2634.3,2634.3,0.1057,0,2026,1,6,0,5,107,85,192,875,0
2026-01-06,Tuesday,01:00,25.0,52,12,7,29,5,13,40,38,1,3,0,0,10,5,17,7,0,455,429,0,2475.8,2475.8,0.0829,0,2026,1,6,1,5,66,82,148,884,0
2026-01-06,Tuesday,02:00,23.1,57,36,13,4,35,13,37,13,14,21,0,0,4,5,29,5,0,513,464,0,2752.1,2752.1,0.0491,0,2026,1,6,2,5,101,85,186,977,0
2026-01-06,Tuesday,03:00,23.3,56,17,9,8,34,16,11,7,1,8,0,0,0,5,21,8,0,450,452,0,2499.9,2499.9,0.0414,0,2026,1,6,3,5,84,27,111,902,0
2026-01-06,Tuesday,04:00,25.4,57,37,20,1,11,16,3,8,26,33,0,0,3,5,12,12,0,454,458,0,2622.3,2622.3,0.1107,0,2026,1,6,4,5,85,70,155,912,0
2026-01-06,Tuesday,05:00,25.4,59,28,23,32,37,6,28,32,14,39,0,0,1,5,26,9,0,434,455,0,2625.0,2625.0,0.0881,0,2026,1,6,5,5,126,113,239,889,0
2026-01-06,Tuesday,06:00,26.1,53,14,20,30,0,1,15,27,12,13,0,0,3,5,25,12,0,429,463,11,2531.1,2520.1,0.1104,0,2026,1,6,6,5,65,67,132,892,0
2026-01-06,Tuesday,07:00,27.6,47,2,10,19,4,2,4,8,19,20,0,0,18,5,27,10,0,362,336,30,2274.7,2244.7,0.0813,0,2026,1,6,7,5,37,51,88,698,0
2026-01-06,Tuesday,08:00,28.6,40,19,16,9,14,16,19,13,3,25,0,0,3,5,30,15,0,435,376,65,2427.4,2362.4,0.099,0,2026,1,6,8,5,74,60,134,811,0
2026-01-06,Tuesday,09:00,28.3,44,17,23,27,6,13,14,28,7,13,0,0,10,5,24,11,0,347,305,94,2246.7,2152.7,0.0787,0,2026,1,6,9,5,86,62,148,652,0
2026-01-06,Tuesday,10:00,28.5,43,3,10,13,10,21,8,11,30,4,0,0,15,5,12,6,0,292,279,163,2134.3,1971.3,0.0343,0,2026,1,6,10,5,57,53,110,571,0
2026-01-06,Tuesday,11:00,28.8,41,2,13,3,23,23,11,25,4,17,0,0,1,5,28,13,0,333,293,178,2194.5,2016.5,0.0501,0,2026,1,6,11,5,64,57,121,626,0
2026-01-06,Tuesday,12:00,28.6,41,21,3,13,11,27,21,30,24,13,0,0,1,5,19,14,0,292,322,197,2166.2,1969.2,0.039,0,2026,1,6,12,5,75,88,163,614,0
2026-01-06,Tuesday,13:00,30.0,43,3,18,16,6,4,21,15,7,27,0,0,3,5,21,13,0,346,270,184,2173.8,1989.8,0.049,0,2026,1,6,13,5,47,70,117,616,0
2026-01-06,Tuesday,14:00,29.4,40,24,8,18,7,25,13,27,17,24,0,0,19,5,29,15,0,312,307,184,2168.1,1984.1,0.0308,0,2026,1,6,14,5,82,81,163,619,0
2026-01-06,Tuesday,15:00,28.5,38,0,19,29,21,26,22,8,0,5,0,0,8,5,19,10,0,299,285,140,2111.3,1971.3,0.0115,0,2026,1,6,15,5,95,35,130,584,0
